iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"((4, 5), (False, False, False, False))",None,None,"[((4, 6), (False, False, False, False)), ((5, 5), (False, False, False, False)), ((3, 5), (False, False, False, False))]","[((4, 5), (False, False, False, False))]","[((3, 5), (False, False, False, False)), ((5, 5), (False, False, False, False)), ((4, 6), (False, False, False, False))]",1,0,0,0
1,"((4, 6), (False, False, False, False))","((4, 5), (False, False, False, False))",North,"[((4, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False))]","[((3, 5), (False, False, False, False)), ((5, 5), (False, False, False, False)), ((4, 6), (False, False, False, False))]","[((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 5), (False, False, False, False)), ((5, 5), (False, False, False, False))]",2,1,0,1
2,"((5, 5), (False, False, False, False))","((4, 5), (False, False, False, False))",East,"[((5, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((4, 5), (False, False, False, False))]","[((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 5), (False, False, False, False)), ((5, 5), (False, False, False, False))]","[((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 5), (False, False, False, False))]",3,1,0,1
3,"((3, 5), (False, False, False, False))","((4, 5), (False, False, False, False))",West,"[((3, 6), (False, False, False, False)), ((4, 5), (False, False, False, False)), ((2, 5), (False, False, False, False))]","[((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 5), (False, False, False, False))]","[((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False))]",4,1,0,1
4,"((5, 6), (False, False, False, False))","((4, 6), (False, False, False, False))",East,"[((5, 5), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((4, 6), (False, False, False, False))]","[((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((5, 6), (False, False, False, False))]","[((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False))]",5,2,0,2
5,"((3, 6), (False, False, False, False))","((4, 6), (False, False, False, False))",West,"[((3, 5), (False, False, False, False)), ((4, 6), (False, False, False, False)), ((2, 6), (False, False, False, False))]","[((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False)), ((3, 6), (False, False, False, False))]","[((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False)), ((5, 6), (False, False, False, False))]",6,2,0,2
6,"((6, 5), (False, False, False, False))","((5, 5), (False, False, False, False))",East,"[((6, 6), (False, False, False, True)), ((6, 4), (False, False, False, False)), ((5, 5), (False, False, False, False))]","[((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((6, 5), (False, False, False, False))]","[((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False))]",7,2,0,2
7,"((2, 5), (False, False, False, False))","((3, 5), (False, False, False, False))",West,"[((2, 6), (False, False, False, False)), ((3, 5), (False, False, False, False)), ((1, 5), (False, False, False, False))]","[((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 5), (False, False, False, False))]","[((1, 5), (False, False, False, False)), ((2, 6), (False, False, False, False)), ((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True))]",8,2,0,2
8,"((6, 6), (False, False, False, True))","((5, 6), (False, False, False, False))",East,"[((6, 5), (False, False, False, True)), ((5, 6), (False, False, False, True))]","[((1, 5), (False, False, False, False)), ((2, 6), (False, False, False, False)), ((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False)), ((6, 6), (False, False, False, True))]","[((5, 6), (False, False, False, True)), ((6, 5), (False, False, False, True)), ((1, 5), (False, False, False, False)), ((2, 6), (False, False, False, False)), ((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False))]",9,3,0,3
9,"((2, 6), (False, False, False, False))","((3, 6), (False, False, False, False))",West,"[((2, 5), (False, False, False, False)), ((3, 6), (False, False, False, False)), ((1, 6), (False, True, False, False))]","[((5, 6), (False, False, False, True)), ((6, 5), (False, False, False, True)), ((1, 5), (False, False, False, False)), ((2, 6), (False, False, False, False)), ((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True)), ((2, 6), (False, False, False, False))]","[((1, 6), (False, True, False, False)), ((5, 6), (False, False, False, True)), ((6, 5), (False, False, False, True)), ((1, 5), (False, False, False, False)), ((2, 6), (False, False, False, False)), ((6, 4), (False, False, False, False)), ((6, 6), (False, False, False, True))]",10,3,0,3
